Wojewodztwo_Name,Powiat_MnpP_Name,Gmina_Name,URL_ID,Commission_Address_Raw,liczba_kart_otrzymanych,liczba_uprawnionych,liczba_kart_niewykorzystanych,liczba_kart_wydanych_lokal,liczba_pakietow_wyslanych,liczba_kart_wydanych_lacznie,liczba_glos_pelnnomocnik,liczba_glos_zaswiadczenie,liczba_kopert_zwrotnych,koperty_bez_oswiadczenia,koperty_oswiadczenie_niepodpisane,koperty_bez_koperty_na_karte,koperty_niezaklejona_koperta_na_karte,koperty_na_karte_wrzucone_do_urny,liczba_kart_wyjetych_z_urny,karty_z_kopert_korespondencyjnych,liczba_kart_niewaznych,liczba_kart_waznych,liczba_glosow_niewaznych,glosy_niewazne_przyczyna_A,glosy_niewazne_przyczyna_B,glosy_niewazne_przyczyna_C,liczba_glosow_waznych_na_kandydatow,Turnout_Percentage
Województwo śląskie,Miasto na prawach powiatu Sosnowiec,,1492490,"Sosnowiecki Szpital Miejski Sp. z o. o., ul. Szpitalna 1, 41-219 Sosnowiec",77.0,65.0,71.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,,6.0,9.230769230769232
Województwo warmińsko-mazurskie,Powiat ketrzynski,gm. Reszel,1494426,"Zespo Opieki Zdrowotnej w Reszlu, ul. Juliusza Sowackiego 17, 11-440 Reszel",102.0,95.0,93.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,,9.0,9.473684210526317
Województwo pomorskie,Powiat pucki,m. Puck,1488843,"Szpital Pucki Sp. z o. o., ul. 1-go Maja 13A, 84-100 Puck",50.0,38.0,46.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,4.0,10.526315789473683
Województwo podlaskie,Powiat hajnowski,m. Hajnowka,1487324,"Zakad Pielegnacyjno-Opiekunczy Samodzielnego Publicznego Zakadu Opieki Zdrowotnej, ul. 11 Listopada 20, 17-200 Hajnowka",47.0,43.0,42.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,1.0,0.0,,4.0,11.627906976744184
Województwo zachodniopomorskie,Powiat gryfinski,gm. Gryfino,1498473,"Dom Pomocy Spoecznej w Nowym Czarnowie, Nowe Czarnowo 66, 74-105 Nowe Czarnowo",121.0,75.0,112.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,,9.0,12.0
Województwo pomorskie,Powiat tczewski,gm. Gniew,1489198,"Zakad Opiekunczo-Leczniczy w Gniewie, ul. Chaubinskiego 1, 83-140 Gniew",48.0,41.0,43.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,5.0,12.195121951219512
Województwo lubuskie,Powiat zaganski,gm. Szprotawa,1474500,"Nowy Szpital w Szprotawie Sp. z o. o., ul. Henrykowska 1, 67-300 Szprotawa",70.0,82.0,60.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,,10.0,12.195121951219512
Województwo pomorskie,Powiat nowodworski,gm. Nowy Dwor Gdanski,1488810,"Powiatowe Centrum Zdrowia Sp. z o. o. w Malborku Szpital w Nowym Dworze Gdanskim, ul. Dworcowa 12, 82-100 Nowy Dwor Gdanski",64.0,64.0,56.0,8.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,,8.0,12.5
Województwo śląskie,Miasto na prawach powiatu Bytom,,1491473,"Dom Pomocy Spoecznej Stowarzyszenia na rzecz Osob Starszych i Niepenosprawnych Fizycznie, Intelektualnie, Osob Chorych Psychicznie oraz Osob Uzaleznionych od Alkoholu ""Pomocna Don"", ul. Strzelcow Bytomskich 450, 41-935 Bytom",79.0,8.0,78.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,12.5
Województwo opolskie,Powiat prudnicki,gm. Gogowek,1484865,"Zakad Opiekunczo-Leczniczy w Gogowku, ul. Marii Konopnickiej 2, 48-250 Gogowek",62.0,63.0,54.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,,8.0,12.698412698412698
Województwo podlaskie,Powiat wysokomazowiecki,gm. Sokoy,1487752,"Niepubliczny Zakad Opieki Zdrowotnej MD CARE Sp. z o. o., Dworaki-Staski 46, 18-218 Sokoy",146.0,110.0,132.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,,14.0,12.727272727272728
Województwo opolskie,Powiat namysowski,gm. Namysow,1484452,"Namysowskie Centrum Zdrowia Sp. z o. o., ul. Olesnicka 4, 46-100 Namysow",131.0,69.0,122.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,,9.0,13.043478260869565
Województwo dolnośląskie,Powiat woowski,gm. Woow,1468892,"Powiatowe Centrum Medyczne w Woowie Sp. z o. o., ul. Inwalidow Wojennych 26, 56-100 Woow",55.0,68.0,46.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,1.0,0.0,1.0,,8.0,13.23529411764706
Województwo wielkopolskie,Powiat kaliski,gm. Stawiszyn,1495799,"Dom Seniora ""Zielony Piatek"", Piatek Wielki 58, 62-820 Stawiszyn",30.0,29.0,26.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,4.0,13.79310344827586
Województwo dolnośląskie,Powiat legnicki,m. Chojnow,1467966,"Dolnoslaski Osrodek Pielegnacyjno-Rehabilitacyjny ""Niebieski Parasol"", ul. Szpitalna 20, 59-225 Chojnow",80.0,56.0,72.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,,8.0,14.285714285714285
Województwo lubelskie,Powiat puawski,gm. Baranow,1472961,"Dom Seniora ""A w sercu maj"", Wola Czonowska 64, 24-105 Baranow",39.0,35.0,34.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,5.0,14.285714285714285
Województwo lubuskie,Powiat miedzyrzecki,gm. Skwierzyna,1474083,"NZOZ Szpital im. dr n. med. Radzimira Smigielskiego Sp. z o. o. w Skwierzynie, ul. Szpitalna 5, 66-440 Skwierzyna",130.0,82.0,118.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,12.0,14.634146341463412
Województwo dolnośląskie,Powiat swidnicki,m. Swiebodzice,1468596,"Mikulicz Sp. z o.o., ul. Marii Skodowskiej-Curie 3-7, 58-160 Swiebodzice",120.0,108.0,104.0,16.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,,16.0,14.814814814814811
Województwo łódzkie,Powiat tomaszowski,m. Tomaszow Mazowiecki,1475926,"Zakad Pielegnacyjno-Opiekunczy Tomaszowskiego Centrum Zdrowia Sp. z o. o., ul. Niska 14, 97-200 Tomaszow Mazowiecki",61.0,47.0,54.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,,7.0,14.893617021276595
Województwo śląskie,Miasto na prawach powiatu Chorzow,,1491541,"BETAMED Medical Active Care, ul. Racawicka 20A, 41-500 Chorzow",88.0,67.0,78.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,,10.0,14.925373134328357
Województwo śląskie,Miasto na prawach powiatu Sosnowiec,,1492492,"Centrum Profilaktyki Leczenia i Opieki MEDICO NZOZ Sp. z o. o., ul. Szpitalna 1, 41-219 Sosnowiec",83.0,66.0,73.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,,10.0,15.151515151515152
Województwo łódzkie,Powiat pabianicki,gm. Lutomiersk,1475407,"Dom Pomocy Spoecznej ""Nad Strumykiem"" w Legendzinie, Legendzin 2, 95-083 Lutomiersk",21.0,33.0,16.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,5.0,15.151515151515152
Województwo opolskie,Powiat strzelecki,gm. Strzelce Opolskie,1484966,"Szpital Powiatowy im. Praata J. Glowatzkiego, ul. Opolska 36A, 47-100 Strzelce Opolskie",168.0,59.0,159.0,9.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,,9.0,15.254237288135592
Województwo warmińsko-mazurskie,Powiat olecki,gm. Olecko,1494643,"Samodzielny Publiczny Zespo Zakadow Opieki Dugoterminowej w Olecku-Kolonii, Olecko-Kolonia 4, 19-400 Olecko",100.0,78.0,88.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,1.0,0.0,1.0,,11.0,15.384615384615383
Województwo małopolskie,Powiat bochenski,m. Bochnia,1476757,"Samodzielny Publiczny Zakad Opieki Zdrowotnej w Bochni ""Szpital Powiatowy"" Zakad Opiekunczo-Leczniczy, ul. Karolina 16, 32-700 Bochnia",82.0,75.0,70.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,12.0,16.0
Województwo zachodniopomorskie,Powiat mysliborski,gm. Debno,1498743,"Szpital w Debnie im. Swietej Matki Teresy z Kalkuty Sp. z o. o., ul. Tadeusza Kosciuszki 58, 74-400 Debno",111.0,73.0,99.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,12.0,16.43835616438356
Województwo małopolskie,Miasto na prawach powiatu Krakow,,1479337,"Zakad Opiekunczo-Leczniczy BONA-MED sp. z o.o., ul. ks. Kazimierza Siemaszki 17CE, 31-207 Krakow",108.0,97.0,92.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,,16.0,16.49484536082474
Województwo warmińsko-mazurskie,Powiat olsztynski,gm. Dobre Miasto,1494720,"Zespo Zakadow Opieki Zdrowotnej im. Jerzego Pioro w Dobrym Miescie, ul. Grunwaldzka 10B, 11-040 Dobre Miasto",97.0,72.0,85.0,12.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,12.0,16.666666666666664
Województwo wielkopolskie,Powiat ostrzeszowski,gm. Kobyla Gora,1496601,"Dom Pomocy Spoecznej w Kobylej Gorze, ul. Tomasza Sikorskiego 1, 63-507 Kobyla Gora",158.0,48.0,150.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,,8.0,16.666666666666664
Województwo łódzkie,Powiat radomszczanski,gm. Przedborz,1475695,"Dom Pomocy Spoecznej Family-Niepubliczny Zakad Pielegnacyjno-Opiekunczy ""Family"", Taras 46A, 97-570 Przedborz",81.0,81.0,67.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,3.0,2.0,1.0,,11.0,17.28395061728395
Województwo śląskie,Miasto na prawach powiatu Bielsko-Biaa,,1491397,"Beskidzkie Centrum Onkologii im. Jana Pawa II Szpital Miejski, ul. Emilii Plater 17, 43-300 Bielsko-Biaa",74.0,52.0,65.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,1.0,0.0,1.0,,8.0,17.307692307692307
Województwo zachodniopomorskie,Powiat kamienski,gm. Kamien Pomorski,1498527,"Szpital w Kamieniu Pomorskim Sp. z o. o., ul. Szpitalna 10, 72-400 Kamien Pomorski",80.0,74.0,67.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,,13.0,17.56756756756757
Województwo świętokrzyskie,Powiat buski,gm. Busko-Zdroj,1492738,"Zakad Opiekunczo Leczniczy w Busku-Zdroju, ul. Solankowa 6, 28-100 Busko-Zdroj",91.0,85.0,76.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,1.0,0.0,1.0,,14.0,17.647058823529413
Województwo świętokrzyskie,Powiat pinczowski,gm. Pinczow,1493481,"Szpital Powiatowy w Pinczowie, ul. Armii Krajowej 22, 28-400 Pinczow",191.0,157.0,163.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,3.0,0.0,3.0,,25.0,17.8343949044586
Województwo lubuskie,Powiat wschowski,gm. Wschowa,1474641,"Nowy Szpital we Wschowie, ul. ks. Kostki 33, 67-400 Wschowa",83.0,78.0,69.0,14.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,,14.0,17.94871794871795
Województwo podlaskie,Powiat sokolski,gm. Dabrowa Biaostocka,1487600,"Samodzielny Publiczny Zakad Opieki Zdrowotnej w Dabrowie Biaostockiej, ul. Marii Skodowskiej-Curie 15, 16-200 Dabrowa Biaostocka",63.0,50.0,54.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,,9.0,18.0
Województwo wielkopolskie,Powiat gostynski,gm. Piaski,1495605,"Dom Seniora Bronek filia w Szelejewie Drugim, Szelejewo Drugie 10A, 63-820 Piaski",76.0,72.0,63.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,,13.0,18.055555555555557
Województwo opolskie,Powiat nyski,gm. Guchoazy,1484501,"Zakad Opiekunczo-Leczniczy Samodzielny Publiczny Zakad Opieki Zdrowotnej w Guchoazach, ul. Parkowa 9, 48-340 Guchoazy",80.0,65.0,68.0,12.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,12.0,18.461538461538463
Województwo świętokrzyskie,Powiat jedrzejowski,gm. Jedrzejow,1492830,"Szpital Specjalistyczny Artmedik Sp. z o.o. w Jedrzejowie, ul. Maogoska 25, 28-300 Jedrzejow",124.0,65.0,112.0,12.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,12.0,18.461538461538463
Województwo warmińsko-mazurskie,Powiat szczycienski,m. Szczytno,1494985,"Zespo Opieki Zdrowotnej w Szczytnie, ul. Marii Curie-Skodowskiej 12, 12-100 Szczytno",155.0,124.0,132.0,23.0,0.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,,23.0,18.548387096774192
Województwo zachodniopomorskie,Powiat gryfinski,gm. Gryfino,1498471,"Szpital Powiatowy w Gryfinie Sp. z o.o. Zakad Opiekunczo-Leczniczy w Gryfinie, ul. Armii Krajowej 8, 74-100 Gryfino",36.0,32.0,30.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,1.0,,5.0,18.75
Województwo mazowieckie,Miasto na prawach powiatu Siedlce,,1482674,"Szpital Samodzielnego Publicznego Zakadu Opieki Zdrowotnej, ul. Generaa Jozefa Bema 22, 08-110 Siedlce",110.0,101.0,91.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,,19.0,18.81188118811881
Województwo małopolskie,Miasto na prawach powiatu Tarnow,,1479491,"Oddzia Opieki Dugoterminowej i Hospicyjnej przy Moscickim Centrum Medycznym, ul. Eugeniusza Kwiatkowskiego 15, 33-101 Tarnow",81.0,69.0,68.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,,13.0,18.84057971014493
Województwo dolnośląskie,Powiat jaworski,gm. Bolkow,1467688,"Zakad Opiekunczo-Leczniczy w Bolkowie, ul. Wysokogorska 19, 59-420 Bolkow",76.0,74.0,62.0,14.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,1.0,0.0,1.0,,13.0,18.91891891891892
Województwo mazowieckie,Powiat sierpecki,gm. Gozdowo,1481706,"Zakad Opiekunczo-Leczniczy w Kolczynie (Palium sp. z o.o.), Kolczyn 44, 09-213 Gozdowo",68.0,63.0,56.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,12.0,19.047619047619047
Województwo dolnośląskie,Powiat kodzki,m. Nowa Ruda,1467854,"Dom Pomocy Spoecznej w Nowej Rudzie, ul. Parkowa 20, 57-402 Nowa Ruda",90.0,89.0,73.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,,17.0,19.101123595505616
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1467459,"Samodzielny Publiczny Zakad Opieki Zdrowotnej w Nowogrodzcu, ul. Lubanska 16, 59-730 Nowogrodziec",79.0,73.0,65.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,1.0,0.0,1.0,,13.0,19.17808219178082
Województwo małopolskie,Powiat suski,gm. Makow Podhalanski,1478413,"Szpital, al. Aleja Kasztanowa 17, 34-220 Makow Podhalanski",100.0,99.0,81.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,,19.0,19.19191919191919
Województwo zachodniopomorskie,Powiat pyrzycki,gm. Pyrzyce,1498864,"Szpital Powiatowy w Pyrzycach-sala konferencyjna (wejscie C, parter), ul. Jana Pawa II 2, 74-200 Pyrzyce",139.0,103.0,119.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,,20.0,19.41747572815534
Województwo lubuskie,Powiat zarski,gm. Lubsko,1474569,"Zakad Opiekunczo Leczniczy, ul. Pokoju 1a, 68-300 Lubsko",50.0,41.0,42.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,1.0,0.0,1.0,,7.0,19.51219512195122
Województwo kujawsko-pomorskie,Powiat mogilenski,gm. Strzelno,1470462,"SPZOZ w Mogilnie, Zakad Opiekunczo-Leczniczy w Strzelnie, ul. Powstania Wielkopolskiego 8, 88-320 Strzelno",57.0,46.0,48.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,1.0,0.0,1.0,,8.0,19.565217391304348
Województwo lubuskie,Powiat swiebodzinski,gm. Swiebodzin,1474349,"""Nowy Szpital"" w Swiebodzinie Sp. z o. o., ul. Mynska 6, 66-200 Swiebodzin",85.0,61.0,73.0,12.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,12.0,19.672131147540984
Województwo śląskie,Miasto na prawach powiatu Jastrzebie-Zdroj,,1491905,"Wojewodzki Szpital Specjalistyczny nr 2, ul. Ignacego Krasickiego 21, 44-335 Jastrzebie-Zdroj",108.0,96.0,89.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,,19.0,19.791666666666664
Województwo wielkopolskie,Powiat koninski,gm. Slesin,1496043,"Dom Pomocy Spoecznej w Slesinie, ul. Koscielna 46, 62-561 Slesin",18.0,20.0,14.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,4.0,20.0
Województwo dolnośląskie,Powiat trzebnicki,gm. Oborniki Slaskie,1468716,"Dolnoslaskie Centrum Onkologii, Pulmonologii i Hematologii-Placowka Zamiejscowa w Obornikach Slaskich Zakad Opiekunczo-Pielegnacyjny, ul. Trzebnicka 3-5, 55-120 Oborniki Slaskie",41.0,40.0,33.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,,8.0,20.0
Województwo mazowieckie,Powiat legionowski,m. Legionowo,1480051,"Wojskowy Instytut Medyczny Panstwowy Instytut Badawczy, ul. Zegrzynska 8, 05-119 Legionowo",92.0,79.0,76.0,16.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,,16.0,20.253164556962027
Województwo kujawsko-pomorskie,Miasto na prawach powiatu Torun,,1471617,"Zakad Pielegnacyjno-Opiekunczy, ul. Ligi Polskiej 8, 87-100 Torun",143.0,69.0,129.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,,14.0,20.28985507246377
Województwo śląskie,Powiat myszkowski,m. Myszkow,1490605,"Zakad Opiekunczo-Leczniczy Eden, ul. Zawiercka 18, 42-300 Myszkow",154.0,128.0,128.0,26.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,1.0,1.0,0.0,,25.0,20.3125
