Wojewodztwo_Name,Powiat_MnpP_Name,Gmina_Name,URL_ID,Commission_Address_Raw,liczba_kart_otrzymanych,liczba_uprawnionych,liczba_kart_niewykorzystanych,liczba_kart_wydanych_lokal,liczba_pakietow_wyslanych,liczba_kart_wydanych_lacznie,liczba_glos_pelnnomocnik,liczba_glos_zaswiadczenie,liczba_kopert_zwrotnych,koperty_bez_oswiadczenia,koperty_oswiadczenie_niepodpisane,koperty_bez_koperty_na_karte,koperty_niezaklejona_koperta_na_karte,koperty_na_karte_wrzucone_do_urny,liczba_kart_wyjetych_z_urny,karty_z_kopert_korespondencyjnych,liczba_kart_niewaznych,liczba_kart_waznych,liczba_glosow_niewaznych,glosy_niewazne_przyczyna_A,glosy_niewazne_przyczyna_B,glosy_niewazne_przyczyna_C,liczba_glosow_waznych_na_kandydatow,Turnout_Percentage
Województwo podlaskie,Powiat sokolski,gm. Dabrowa Biaostocka,1435523,"Samodzielny Publiczny Zakad Opieki Zdrowotnej w Dabrowie Biaostockiej, ul. Marii Skodowskiej-Curie 15, 16-200 Dabrowa Biaostocka",65.0,52.0,60.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,9.615384615384617
Województwo pomorskie,Powiat malborski,m. Malbork,1435583,"Powiatowe Centrum Zdrowia Sp. z o. o. Szpital w Malborku, ul. Aleja Armii Krajowej 105/106, 82-200 Malbork",147.0,31.0,144.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,9.67741935483871
Województwo małopolskie,Powiat brzeski,gm. Czchow,1434668,"SPGZOZ w Czchowie, Zakad Opiekunczo-Leczniczy, ul. Sadecka 183, 32-860 Czchow",56.0,51.0,51.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,4.0,9.803921568627452
Województwo warmińsko-mazurskie,Powiat ketrzynski,gm. Reszel,1435954,"Zespo Opieki Zdrowotnej w Reszlu, ul. Juliusza Sowackiego 17, 11-440 Reszel",101.0,91.0,92.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,8.0,9.89010989010989
Województwo świętokrzyskie,Powiat jedrzejowski,gm. Jedrzejow,1435865,"Szpital Specjalistyczny Artmedik Sp. z o.o. w Jedrzejowie, ul. Maogoska 25, 28-300 Jedrzejow",121.0,60.0,115.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,10.0
Województwo kujawsko-pomorskie,Miasto na prawach powiatu Bydgoszcz,,1434369,"Niepubliczny Zakad Opieki Zdrowotnej Dom Sue Ryder prowadzony przez Pallmed sp. z o. o. Hospicjum Stacjonarne, ul. Wilhelma Roentgena 3, 85-796 Bydgoszcz",36.0,30.0,33.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,10.0
Województwo wielkopolskie,Powiat krotoszynski,gm. Krotoszyn,1436048,"Samodzielny Publiczny Zakad Opieki Zdrowotnej w Krotoszynie, Zakad Opiekunczo-Leczniczy w Krotoszynie, Zakad Opieki Paliatywnej w Krotoszynie, ul. Bolewskiego 14, 63-700 Krotoszyn",30.0,29.0,27.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,10.344827586206897
Województwo łódzkie,Powiat tomaszowski,m. Tomaszow Mazowiecki,1434592,"Zakad Pielegnacyjno-Opiekunczy Tomaszowskiego Centrum Zdrowia Sp. z o. o., ul. Niska 14, 97-200 Tomaszow Mazowiecki",61.0,48.0,56.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,10.416666666666668
Województwo warmińsko-mazurskie,Powiat olecki,gm. Olecko,1435963,"Samodzielny Publiczny Zespo Zakadow Opieki Dugoterminowej w Olecku-Kolonii, Olecko-Kolonia 4, 19-400 Olecko",101.0,75.0,93.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,10.666666666666668
Województwo opolskie,Powiat namysowski,gm. Namysow,1435358,"Namysowskie Centrum Zdrowia Sp. z o. o., ul. Olesnicka 4, 46-100 Namysow",137.0,75.0,129.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,10.666666666666668
Województwo małopolskie,Powiat bochenski,m. Bochnia,1434662,"Samodzielny Publiczny Zakad Opieki Zdrowotnej w Bochni ""Szpital Powiatowy"" Zakad Opiekunczo-Leczniczy, ul. Karolina 16, 32-700 Bochnia",79.0,75.0,71.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,10.666666666666668
Województwo śląskie,Miasto na prawach powiatu Bytom,,1435736,"Szpital Specjalistyczny Nr 1, ul. Aleja Legionow 49, 41-902 Bytom",64.0,56.0,58.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,10.714285714285714
Województwo pomorskie,Powiat tczewski,gm. Gniew,1435603,"Zakad Opiekunczo-Leczniczy w Gniewie, ul. Chaubinskiego 1, 83-140 Gniew",48.0,46.0,43.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,10.869565217391305
Województwo zachodniopomorskie,Powiat mysliborski,gm. Barlinek,1436194,"Szpital Barlinek Sp. z o. o., ul. Szpitalna 10, 74-320 Barlinek",138.0,62.0,131.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,11.29032258064516
Województwo dolnośląskie,Powiat kodzki,m. Nowa Ruda,1434182,"""Zespo Opieki Zdrowotnej"" w Kodzku (Szpital w Nowej Rudzie), ul. Szpitalna 8, 57-400 Nowa Ruda",97.0,88.0,87.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,11.363636363636363
Województwo podlaskie,Powiat hajnowski,m. Hajnowka,1435512,"Zakad Pielegnacyjno-Opiekunczy Samodzielnego Publicznego Zakadu Opieki Zdrowotnej, ul. 11 Listopada 20, 17-200 Hajnowka",47.0,43.0,42.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,11.627906976744184
Województwo wielkopolskie,Miasto na prawach powiatu Poznan,,1436687,"Zakad Opiekunczo-Leczniczy Wielospecjalistycznego Szpitala Miejskiego im. Jozefa Strusia z Zakadem Opiekunczo-Leczniczym SP ZOZ w Poznaniu, ul. Mogilenska 42, 61-044 Poznan",17.0,17.0,15.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,11.76470588235294
Województwo świętokrzyskie,Powiat kazimierski,gm. Kazimierza Wielka,1435868,"Samodzielny Publiczny Zespo Opieki Zdrowotnej w Kazimierzy Wielkiej, ul. Partyzantow 12, 28-500 Kazimierza Wielka",75.0,50.0,69.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,12.0
Województwo zachodniopomorskie,Powiat gryfinski,gm. Gryfino,1436179,"Dom Pomocy Spoecznej w Nowym Czarnowie, Nowe Czarnowo 66, 74-105 Nowe Czarnowo",120.0,75.0,111.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,8.0,12.0
Województwo łódzkie,Powiat pajeczanski,gm. Pajeczno,1434563,"Szpital Rejonowy w Pajecznie, ul. 1 Maja 13/15, 98-330 Pajeczno",56.0,57.0,49.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,6.0,12.280701754385964
Województwo dolnośląskie,Powiat trzebnicki,gm. Oborniki Slaskie,1434224,"Dolnoslaskie Centrum Onkologii, Pulmonologii i Hematologii-Placowka Zamiejscowa w Obornikach Slaskich Zakad Opiekunczo-Pielegnacyjny, ul. Trzebnicka 3-5, 55-120 Oborniki Slaskie",39.0,39.0,34.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,4.0,12.82051282051282
Województwo mazowieckie,Miasto na prawach powiatu Siedlce,,1434961,"Szpital Samodzielnego Publicznego Zakadu Opieki Zdrowotnej, ul. Generaa Jozefa Bema 22, 08-110 Siedlce",119.0,101.0,106.0,13.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,12.871287128712872
Województwo łódzkie,Powiat radomszczanski,gm. Przedborz,1434577,"Dom Pomocy Spoecznej Family-Niepubliczny Zakad Pielegnacyjno-Opiekunczy ""Family"", Taras 46A, 97-570 Przedborz",79.0,82.0,68.0,11.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,2.0,0.0,2.0,0.0,9.0,13.414634146341465
Województwo małopolskie,Miasto na prawach powiatu Tarnow,,1434817,"Oddzia Opieki Dugoterminowej i Hospicyjnej przy Moscickim Centrum Medycznym, ul. Eugeniusza Kwiatkowskiego 15, 33-101 Tarnow",82.0,67.0,73.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,13.432835820895525
Województwo dolnośląskie,Powiat jaworski,gm. Bolkow,1434163,"Zakad Opiekunczo-Leczniczy w Bolkowie, ul. Wysokogorska 19, 59-420 Bolkow",78.0,73.0,68.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,8.0,13.6986301369863
Województwo śląskie,Miasto na prawach powiatu Chorzow,,1435747,"BETAMED Medical Active Care, ul. Racawicka 20A, 41-500 Chorzow",85.0,65.0,76.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,13.846153846153848
Województwo łódzkie,Miasto na prawach powiatu odz,,1434644,"Uniwersytecki Szpital Kliniczny nr 2 Uniwersytetu Medycznego w odzi, ul. Pieniny 30, 92-115 odz",130.0,136.0,111.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,1.0,1.0,0.0,0.0,18.0,13.970588235294118
Województwo małopolskie,Miasto na prawach powiatu Krakow,,1434777,"Zakad Opiekunczo-Leczniczy BONA-MED sp. z o.o., ul. ks. Kazimierza Siemaszki 17CE, 31-207 Krakow",108.0,93.0,95.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,12.0,13.978494623655912
Województwo podkarpackie,Powiat ancucki,m. ancut,1435438,"Centrum Medyczne w ancucie Sp. z o. o., ul. Ignacego Paderewskiego 5, 37-100 ancut",219.0,224.0,187.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,14.285714285714285
Województwo dolnośląskie,Powiat swidnicki,m. Swiebodzice,1434219,"Mikulicz Sp. z o.o., ul. Marii Skodowskiej-Curie 3-7, 58-160 Swiebodzice",119.0,111.0,103.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,14.414414414414416
Województwo lubuskie,Powiat miedzyrzecki,gm. Skwierzyna,1434496,"NZOZ Szpital im. dr n. med. Radzimira Smigielskiego Sp. z o. o. w Skwierzynie, ul. Szpitalna 5, 66-440 Skwierzyna",129.0,83.0,117.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,11.0,14.457831325301203
Województwo opolskie,Powiat krapkowicki,gm. Krapkowice,1435356,"Krapkowickie Centrum Zdrowia Sp. z o. o., os. Osiedle XXX Lecia 21, 47-303 Krapkowice",119.0,62.0,110.0,9.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,14.516129032258066
Województwo kujawsko-pomorskie,Powiat torunski,gm. Chemza,1434342,"Zakad Opiekunczo-Leczniczy, Browina 62, 87-140 Chemza",106.0,81.0,94.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,3.0,0.0,3.0,0.0,9.0,14.814814814814811
Województwo śląskie,Miasto na prawach powiatu Bielsko-Biaa,,1435727,"Beskidzkie Centrum Onkologii im. Jana Pawa II Szpital Miejski, ul. Emilii Plater 17, 43-300 Bielsko-Biaa",76.0,54.0,68.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,14.814814814814811
Województwo śląskie,Powiat tarnogorski,m. Tarnowskie Gory,1435702,"Szpital Sw. Kamila Zakonu Ojcow Kamilianow, ul. Bytomska 22, 42-606 Tarnowskie Gory",61.0,74.0,50.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,14.864864864864863
Województwo mazowieckie,Powiat zwolenski,gm. Zwolen,1434937,"Szpital Rejonowy w Zwoleniu, ul. Wadysawa Jagiey 12, 26-700 Zwolen",45.0,47.0,38.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,14.893617021276595
Województwo świętokrzyskie,Powiat kielecki,gm. Strawczyn,1435878,"Dom Pomocy Spoecznej ""Helena"" w Rudzie Strawczynskiej, Ruda Strawczynska 80A, 26-067 Strawczyn",46.0,47.0,39.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,14.893617021276595
Województwo łódzkie,Powiat zgierski,m. Gowno,1434603,"Grupa Zdrowie Sp. z o.o. Hospicjum Stacjonarne w Gownie, ul. Wojska Polskiego 32/34, 95-015 Gowno",25.0,20.0,22.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,15.0
Województwo opolskie,Powiat strzelecki,gm. Strzelce Opolskie,1435390,"Szpital Powiatowy im. Praata J. Glowatzkiego, ul. Opolska 36A, 47-100 Strzelce Opolskie",158.0,60.0,149.0,9.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,15.0
Województwo opolskie,Powiat gubczycki,gm. Gubczyce,1435342,"Samodzielny Publiczny Zespo Opieki Zdrowotnej w Gubczycach, ul. Marii Skodowskiej-Curie 26, 48-100 Gubczyce",169.0,126.0,150.0,19.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,1.0,0.0,1.0,0.0,18.0,15.07936507936508
Województwo mazowieckie,Powiat radomski,gm. Iza,1434912,"SP ZZOZ Szpital w Izy, Iza ul. Danuty Siedzikowny ""Inki"" 4, 27-100 IZA",140.0,59.0,131.0,9.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,15.254237288135592
Województwo śląskie,Powiat bedzinski,gm. Siewierz,1435645,"Szpital Chorob Puc w Siewierzu Sp. z o. o., ul. Zbigniewa Olesnickiego 21, 42-470 Siewierz",40.0,26.0,36.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,15.384615384615383
