"Numer";"Nazwa";"Adres";"Godziny działania";"Kontakt";"Zasięg"
31;"Okręgowa Komisja Wyborcza nr 31 w Tarnobrzegu";"Podkarpacki Urząd Wojewódzki w Rzeszowie Delegatura w Tarnobrzegu, ul. 1 Maja 4a, pokój 206, 39-400 Tarnobrzeg";"Członkowie Komisji pełnią dyżury w każdy poniedziałek i środę w godzinach 14.30 - 16.00";"15 814 28 57";"powiaty: kolbuszowski, mielecki, niżański, stalowowolski, tarnobrzeski; miasto na prawach powiatu: Tarnobrzeg"
32;"Okręgowa Komisja Wyborcza nr 32 w Białymstoku";"Gmach Podlaskiego Urzędu Wojewódzkiego w Białymstoku,, ul. Mickiewicza 3 pok. 303";"14 maja 2025 r. w godz. 12:00 - 15:30, 17 maja 2025 r. w godz. 08:00 - 20:00, 18 maja 2025 r. od godziny 06:00";"85 671 13 88";"powiaty: białostocki, bielski, hajnowski, moniecki, siemiatycki; miasto na prawach powiatu: Białystok"
33;"Okręgowa Komisja Wyborcza nr 33 w Łomży";"ul. Nowa 2, 18-400 Łomża";"";"86 211 67 10";"powiaty: grajewski, kolneński, łomżyński, wysokomazowiecki, zambrowski; miasto na prawach powiatu: Łomża"
34;"Okręgowa Komisja Wyborcza nr 34 w Suwałkach";"ul. Adama Mickiewicza 15, 16-400 Suwałki";"";"87 565 23 17; 87 563 17 55";"powiaty: augustowski, sejneński, sokólski, suwalski; miasto na prawach powiatu: Suwałki"
35;"Okręgowa Komisja Wyborcza nr 35 w Gdańsku";"ul. Okopowa 21/27, 80-810 Gdańsk, gmach Pomorskiego Urzędu Wojewódzkiego, IV piętro, pokój 449";"Członkowie Komisji pełnią dyżury:, - w każdy czwartek w godzinach od 8:00 do 11:00.";"58 352 23 41";"powiaty: gdański, kwidzyński, malborski, nowodworski, starogardzki, sztumski, tczewski; miasta na prawach powiatu: Gdańsk i Sopot"
36;"Okręgowa Komisja Wyborcza nr 36 w Słupsku";"ul. Jana Pawła II 1, 76-200 Słupsk";"poniedziałki w godzinach od 12:00 do 14:00.";"59 8427420";"powiaty: bytowski, chojnicki, człuchowski, kartuski, kościerski, lęborski, pucki, słupski, wejherowski; miasta na prawach powiatu: Gdynia i Słupsk"
37;"Okręgowa Komisja Wyborcza nr 37 w Katowicach";"Katowice, ul. Jagiellońska 25 pod. 152";"od poniedziałku do czwartku w okresie od 14 kwietnia do 8 maja w godz. 14:00 do 15:00";"32-725-92-09";"powiaty: będziński, bieruńsko-lędziński, gliwicki, tarnogórski, zawierciański; miasta na prawach powiatu: Bytom, Chorzów, Dąbrowa Górnicza, Gliwice, Jaworzno, Katowice, Mysłowice, Piekary Śląskie, Ruda Śląska, Siemianowice Śląskie, Sosnowiec, Świętochłowice, Tychy, Zabrze"
38;"Okręgowa Komisja Wyborcza nr 38 w Bielsku-Białej";"Delegatura Krajowego Biura Wyborczego w Bielsku-Białej, ul. Piastowska 40, 43-300 Bielsko-Biała, budynek B, pokój nr 119";"Członkowie Komisji pełnią dyżury: , , 15.05.2025 r. w godz. 15:00 do 16:00,, 17.05.2025 r. w godz. 12:00 do 14:00,, 18.05.2025 r. od godz. 7:00 do zakończenia prac komisji";"33 812 45 98, 33 813 63 74";"powiaty: bielski, cieszyński, mikołowski, pszczyński, raciborski, rybnicki, wodzisławski, żywiecki; miasta na prawach powiatu: Bielsko-Biała, Jastrzębie-Zdrój, Rybnik, Żory"
39;"Okręgowa Komisja Wyborcza nr 39 w Częstochowie";"ul. Jana III Sobieskiego 7, Częstochowa, 42-200 Częstochowa";"";"34 3244224";"powiaty: częstochowski, kłobucki, lubliniecki, myszkowski; miasto na prawach powiatu: Częstochowa"
40;"Okręgowa Komisja Wyborcza nr 40 w Kielcach";"Świętokrzyski Urząd Wojewódzki w Kielcach,, al. IX Wieków Kielc 3, 25-516 Kielce,, Budynek „C” IV piętro, pok. 422";"środy w godz. 9:00-12:00";"41 2428872";"powiaty: buski, jędrzejowski, kazimierski, kielecki, konecki, opatowski, ostrowiecki, pińczowski, sandomierski, skarżyski, starachowicki, staszowski, włoszczowski; miasto na prawach powiatu: Kielce"
41;"Okręgowa Komisja Wyborcza nr 41 w Olsztynie";"Al. Marsz. J. Piłsudskiego 7/9, 10-575 Olsztyn, pok. nr 253 (II piętro)";"";"89 523 23 48";"powiaty: ełcki, giżycki, gołdapski, kętrzyński, mrągowski, nidzicki, olecki, olsztyński, piski, szczycieński, węgorzewski; miasto na prawach powiatu: Olsztyn"
42;"Okręgowa Komisja Wyborcza nr 42 w Elblągu";"Krajowe Biuro Wyborcze Delegatura w Elblągu., ul. Wojska Polskiego 1, 82-300 Elbląg";"od dnia 3 kwietnia 2025 r. – 16 maja 2025 r., - wtorki w godz. 14:00 - 15:00, - czwartki w godz. 14:00 - 15:00, , w dniu 17 maja 2025 r., - w godz.  8:00 – 15:00 , , w dniu 18 maja 2025 r., - w godz. 6:00 – do czasu do zakończenia prac związanych z ustaleniem wyników głosowania";"+48 55 620 01 28";"powiaty: bartoszycki, braniewski, działdowski, elbląski, iławski, lidzbarski, nowomiejski, ostródzki; miasto na prawach powiatu: Elbląg"
43;"Okręgowa Komisja Wyborcza nr 43 w Poznaniu";"Krajowe Biuro Wyborcze Delegatura w Poznaniu,, ul. Kościuszki 93,, 61-716 Poznań";"14 maja 2025 r.  (środa) w godz. 10:00 – 11:00 , 16 maja 2025 r.  (piątek) w godz. 11:00 – 12:00 , 17 maja 2025 r.  (sobota) w godz. 8:00 – 20:00 , 18 maja 2025 r. (niedziela) w godz. 6:00 – 24:00 , 19 maja 2025 r. (poniedziałek) w godz. 0:00 – do czasu  ustalenia wyników głosowania w okręgu";"61 854 13 35";"powiaty: grodziski, międzychodzki, nowotomyski, obornicki, poznański, szamotulski, wolsztyński; miasto na prawach powiatu: Poznań"
44;"Okręgowa Komisja Wyborcza nr 44 w Kaliszu";"ul. Stanisława Staszica 47A /wejście B, II piętro/, 62-800 Kalisz";"- poniedziałki od godz. 9:00 do 10:00,, - wtorki od godz. 8:00  do 10:00.";"/62/ 594-17-24";"powiaty: jarociński, kaliski, kępiński, krotoszyński, ostrowski, ostrzeszowski, pleszewski; miasto na prawach powiatu: Kalisz"
45;"Okręgowa Komisja Wyborcza nr 45 w Koninie";"Krajowe Biuro Wyborcze Delegatura w Koninie, Aleje 1 Maja 7, 62-510 Konin";"17 maja 2025 r. (sobota) w godz. 8:00 – 20:00 , 18 maja 2025 r. (niedziela) w godz. 6:00 – 24:00 , 19 maja 2025 r. (poniedziałek) w godz. 0:00 – do czasu  ustalenia wyników głosowania w  okręgu";"63 220 78 32";"powiaty: gnieźnieński, kolski, koniński, słupecki, średzki, śremski, turecki, wrzesiński; miasto na prawach powiatu: Konin"
46;"Okręgowa Komisja Wyborcza nr 46 w Lesznie";"Pl. Kościuszki 4, 64-100 Leszno";"we wtorki i piątki od 8.00 - 9.00";"65 614 25 35";"powiaty: gostyński, kościański, leszczyński, rawicki; miasto na prawach powiatu: Leszno"
47;"Okręgowa Komisja Wyborcza nr 47 w Pile";"Krajowe Biuro Wyborcze Delegatura w Pile, aleja Niepodległości 33/35, , 64-920 Piła (gmach Starostwa Powiatowego w Pile) pokój 34";"czwartek w godz. od 12:30-14:30";"67 345 13 19";"powiaty: chodzieski, czarnkowsko-trzcianecki, pilski, wągrowiecki, złotowski"
48;"Okręgowa Komisja Wyborcza nr 48 w Szczecinie";"ul. Jana Matejki 6B (pok. 15, parter),, 71-615 Szczecin";"wtorki w godz. 13.30 - 14.30, piątki w godz. 12.00 - 13.00";"91 88 777 04";"powiaty: goleniowski, gryficki, gryfiński, kamieński, łobeski, myśliborski, policki, pyrzycki, stargardzki; miasta na prawach powiatu: Szczecin, Świnoujście"
49;"Okręgowa Komisja Wyborcza nr 49 w Koszalinie";"ul. Władysława Andersa 34, 75-950 Koszalin, pok. 195";"";"943422790";"powiaty: białogardzki, choszczeński, drawski, kołobrzeski, koszaliński, sławieński, szczecinecki, świdwiński, wałecki; miasto na prawach powiatu: Koszalin"
